TEAM,SEASON,AVG_TIME
Wigan Athletic,2008-09,1.7
Arsenal,2009-10,3.2
Aston Villa,2009-10,2.0
Birmingham City,2009-10,2.2
Blackburn Rovers,2009-10,2.4
Bolton Wanderers,2009-10,2.9
Burnley,2009-10,2.0
Chelsea,2009-10,3.4
Everton,2009-10,2.9
Fulham,2009-10,1.9
Hull City,2009-10,2.4
Liverpool,2009-10,3.0
Manchester City,2009-10,2.0
Manchester United,2009-10,4.6
Portsmouth,2009-10,2.1
Stoke City,2009-10,2.3
Sunderland,2009-10,2.1
Tottenham Hotspur,2009-10,2.4
West Ham United,2009-10,2.1
Wigan Athletic,2009-10,1.8
Wolverhampton Wanderers,2009-10,2.5
Arsenal,2010-11,3.9
Aston Villa,2010-11,2.4
Birmingham City,2010-11,2.3
Blackburn Rovers,2010-11,2.5
Blackpool,2010-11,2.1
Bolton Wanderers,2010-11,3.0
Chelsea,2010-11,3.9
Everton,2010-11,3.6
Fulham,2010-11,2.3
Liverpool,2010-11,2.9
Manchester City,2010-11,2.1
Manchester United,2010-11,5.1
Newcastle United,2010-11,2.9
Stoke City,2010-11,2.6
Sunderland,2010-11,2.1
Tottenham Hotspur,2010-11,3.0
West Bromwich Albion,2010-11,2.1
West Ham United,2010-11,2.4
Wigan Athletic,2010-11,1.8
Wolverhampton Wanderers,2010-11,2.3
Arsenal,2011-12,3.2
Aston Villa,2011-12,2.5
Blackburn Rovers,2011-12,2.7
Bolton Wanderers,2011-12,2.8
Chelsea,2011-12,4.2
Everton,2011-12,3.2
Fulham,2011-12,2.4
Liverpool,2011-12,3.6
Manchester City,2011-12,2.5
Manchester United,2011-12,4.2
Newcastle United,2011-12,3.3
Norwich City,2011-12,2.2
QPR,2011-12,2.1
Stoke City,2011-12,3.2
Sunderland,2011-12,2.1
Swansea City,2011-12,2.3
Tottenham Hotspur,2011-12,3.1
West Bromwich Albion,2011-12,2.3
Wigan Athletic,2011-12,2.3
Wolverhampton Wanderers,2011-12,3.1
Arsenal,2012-13,3.2
Aston Villa,2012-13,2.5
Chelsea,2012-13,3.8
Everton,2012-13,3.4
Fulham,2012-13,2.3
Liverpool,2012-13,3.4
Manchester City,2012-13,2.6
Manchester United,2012-13,4.3
Newcastle United,2012-13,3.1
Norwich City,2012-13,2.2
QPR,2012-13,1.6
Reading,2012-13,3.0
Southampton,2012-13,2.2
Stoke City,2012-13,3.0
Sunderland,2012-13,2.0
Swansea City,2012-13,2.6
Tottenham Hotspur,2012-13,3.5
West Bromwich Albion,2012-13,2.7
West Ham United,2012-13,2.0
Wigan Athletic,2012-13,2.5
Arsenal,2013-14,3.7
Aston Villa,2013-14,2.6
Cardiff City,2013-14,1.9
Chelsea,2013-14,3.4
Crystal Palace,2013-14,1.8
Everton,2013-14,3.4
Fulham,2013-14,2.0
Hull City,2013-14,1.8
Liverpool,2013-14,3.1
Manchester City,2013-14,3.2
Manchester United,2013-14,5.2
Newcastle United,2013-14,3.4
Norwich City,2013-14,1.8
Southampton,2013-14,2.4
Stoke City,2013-14,2.9
Sunderland,2013-14,1.7
Swansea City,2013-14,2.7
Tottenham Hotspur,2013-14,3.0
West Bromwich Albion,2013-14,2.8
West Ham United,2013-14,2.1
Arsenal,2014-15,3.6
Aston Villa,2014-15,3.0
