,TEAM,SEASON,EST_TEAM_MARKET_VALUE
180,Chelsea,2009-10,
181,Manchester United,2009-10,
182,Arsenal,2009-10,
183,Tottenham Hotspur,2009-10,
184,Manchester City,2009-10,
185,Aston Villa,2009-10,
186,Liverpool,2009-10,
187,Everton,2009-10,
188,Birmingham City,2009-10,
189,Blackburn Rovers,2009-10,
190,Stoke City,2009-10,
191,Fulham,2009-10,
192,Sunderland,2009-10,
193,Bolton Wanderers,2009-10,
194,Wolverhampton Wanderers,2009-10,
195,Wigan Athletic,2009-10,
196,West Ham United,2009-10,
197,Burnley,2009-10,
198,Hull City,2009-10,
199,Portsmouth,2009-10,
200,Manchester United,2010-11,
201,Chelsea,2010-11,
202,Manchester City,2010-11,
203,Arsenal,2010-11,
204,Tottenham Hotspur,2010-11,
205,Liverpool,2010-11,
206,Everton,2010-11,
207,Fulham,2010-11,
208,Aston Villa,2010-11,
209,Sunderland,2010-11,
210,West Bromwich Albion,2010-11,
211,Newcastle United,2010-11,
212,Stoke City,2010-11,
213,Bolton Wanderers,2010-11,
214,Blackburn Rovers,2010-11,
215,Wigan Athletic,2010-11,
216,Wolverhampton Wanderers,2010-11,
217,Birmingham City,2010-11,
218,Blackpool,2010-11,
219,West Ham United,2010-11,
220,Manchester City,2011-12,
221,Manchester United,2011-12,
222,Arsenal,2011-12,
223,Tottenham Hotspur,2011-12,
224,Newcastle United,2011-12,
225,Chelsea,2011-12,
226,Everton,2011-12,
227,Liverpool,2011-12,
228,Fulham,2011-12,
229,West Bromwich Albion,2011-12,
230,Swansea City,2011-12,
231,Norwich City,2011-12,
232,Sunderland,2011-12,
233,Stoke City,2011-12,
234,Wigan Athletic,2011-12,
235,Aston Villa,2011-12,
236,QPR,2011-12,
237,Bolton Wanderers,2011-12,
238,Blackburn Rovers,2011-12,
239,Wolverhampton Wanderers,2011-12,
240,Manchester United,2012-13,
241,Manchester City,2012-13,
242,Chelsea,2012-13,
243,Arsenal,2012-13,
244,Tottenham Hotspur,2012-13,
245,Everton,2012-13,
246,Liverpool,2012-13,
247,West Bromwich Albion,2012-13,
248,Swansea City,2012-13,
249,West Ham United,2012-13,
250,Norwich City,2012-13,
251,Fulham,2012-13,
252,Stoke City,2012-13,
253,Southampton,2012-13,
254,Aston Villa,2012-13,
255,Newcastle United,2012-13,
256,Sunderland,2012-13,
257,Wigan Athletic,2012-13,
258,Reading,2012-13,
259,QPR,2012-13,
260,Manchester City,2013-14,
261,Liverpool,2013-14,
262,Chelsea,2013-14,
263,Arsenal,2013-14,
264,Everton,2013-14,
265,Tottenham Hotspur,2013-14,
266,Manchester United,2013-14,
267,Southampton,2013-14,
268,Stoke City,2013-14,
269,Newcastle United,2013-14,
270,Crystal Palace,2013-14,
271,Swansea City,2013-14,
272,West Ham United,2013-14,
273,Sunderland,2013-14,
274,Aston Villa,2013-14,
275,Hull City,2013-14,
276,West Bromwich Albion,2013-14,
277,Norwich City,2013-14,
278,Fulham,2013-14,
279,Cardiff City,2013-14,
280,Chelsea,2014-15,
281,Manchester City,2014-15,
282,Arsenal,2014-15,
283,Manchester United,2014-15,
284,Tottenham Hotspur,2014-15,
285,Liverpool,2014-15,
286,Southampton,2014-15,
287,Swansea City,2014-15,
288,Stoke City,2014-15,
289,Crystal Palace,2014-15,
290,Everton,2014-15,
291,West Ham United,2014-15,
292,West Bromwich Albion,2014-15,
293,Leicester City,2014-15,
294,Newcastle United,2014-15,
295,Sunderland,2014-15,
296,Aston Villa,2014-15,
297,Hull City,2014-15,
