TEAM,SEASON,WAGE
Blackburn Rovers,2001-02,30000000.0
Bolton Wanderers,2001-02,19000000.0
Charlton Athletic,2001-02,22000000.0
Chelsea,2001-02,56000000.0
Everton,2001-02,29000000.0
Fulham,2001-02,31000000.0
Ipswich Town,2001-02,24000000.0
Leeds United,2001-02,54000000.0
Liverpool,2001-02,56000000.0
Manchester United,2001-02,70000000.0
Middlesbrough,2001-02,30000000.0
Newcastle United,2001-02,32000000.0
Southampton,2001-02,23000000.0
Sunderland,2001-02,26000000.0
Tottenham,2001-02,37000000.0
West Ham United,2001-02,33000000.0
Arsenal,2002-03,61000000.0
Aston Villa,2002-03,32000000.0
Birmingham City,2002-03,20000000.0
Blackburn Rovers,2002-03,36000000.0
Charlton Athletic,2002-03,24000000.0
Chelsea,2002-03,54000000.0
Everton,2002-03,30000000.0
Fulham,2002-03,36000000.0
Leeds United,2002-03,57000000.0
Liverpool,2002-03,54000000.0
Manchester City,2002-03,35000000.0
Manchester United,2002-03,80000000.0
Middlesbrough,2002-03,29000000.0
Newcastle United,2002-03,45000000.0
Southampton,2002-03,27000000.0
Sunderland,2002-03,34000000.0
Tottenham,2002-03,38000000.0
West Bromwich Albion,2002-03,12000000.0
West Ham United,2002-03,33000000.0
Arsenal,2003-04,70000000.0
Aston Villa,2003-04,34000000.0
Birmingham City,2003-04,23000000.0
Blackburn Rovers,2003-04,31000000.0
Bolton Wanderers,2003-04,24000000.0
Charlton Athletic,2003-04,30000000.0
Chelsea,2003-04,115000000.0
Everton,2003-04,33000000.0
Fulham,2003-04,31000000.0
Leeds United,2003-04,37000000.0
Leicester City,2003-04,24000000.0
Liverpool,2003-04,66000000.0
Manchester City,2003-04,38000000.0
Manchester United,2003-04,77000000.0
Middlesbrough,2003-04,29000000.0
Newcastle United,2003-04,45000000.0
Portsmouth,2003-04,26000000.0
Southampton,2003-04,26000000.0
Tottenham,2003-04,35000000.0
Wolverhampton Wanderers,2003-04,19000000.0
Arsenal,2004-05,66000000.0
Aston Villa,2004-05,33000000.0
Birmingham City,2004-05,27000000.0
Blackburn Rovers,2004-05,31000000.0
Bolton Wanderers,2004-05,25000000.0
Charlton Athletic,2004-05,29000000.0
Chelsea,2004-05,109000000.0
Everton,2004-05,31000000.0
Fulham,2004-05,34000000.0
Liverpool,2004-05,64000000.0
Manchester City,2004-05,38000000.0
Manchester United,2004-05,77000000.0
Middlesbrough,2004-05,29000000.0
Newcastle United,2004-05,50000000.0
Norwich City,2004-05,17000000.0
Portsmouth,2004-05,25000000.0
Southampton,2004-05,28000000.0
Tottenham,2004-05,33000000.0
West Bromwich Albion,2004-05,21000000.0
Arsenal,2005-06,83000000.0
Aston Villa,2005-06,38000000.0
Birmingham City,2005-06,27000000.0
Blackburn Rovers,2005-06,33000000.0
Bolton Wanderers,2005-06,29000000.0
Charlton Athletic,2005-06,34000000.0
Chelsea,2005-06,114000000.0
Everton,2005-06,37000000.0
Fulham,2005-06,30000000.0
Liverpool,2005-06,69000000.0
Manchester City,2005-06,34000000.0
Manchester United,2005-06,85000000.0
Newcastle United,2005-06,52000000.0
Portsmouth,2005-06,25000000.0
Sunderland,2005-06,17000000.0
Tottenham,2005-06,41000000.0
West Bromwich Albion,2005-06,20000000.0
West Ham United,2005-06,31000000.0
Wigan Athletic,2005-06,21000000.0
Arsenal,2006-07,90000000.0
Aston Villa,2006-07,43000000.0
Blackburn Rovers,2006-07,38000000.0
Bolton Wanderers,2006-07,30000000.0
Charlton Athletic,2006-07,34000000.0
Chelsea,2006-07,133000000.0
Everton,2006-07,38000000.0
Fulham,2006-07,35000000.0
Liverpool,2006-07,78000000.0
Manchester City,2006-07,36000000.0
Manchester United,2006-07,92000000.0
Middlesbrough,2006-07,38000000.0
Newcastle United,2006-07,63000000.0
Portsmouth,2006-07,37000000.0
Reading,2006-07,30000000.0
Sheffield United,2006-07,22000000.0
Tottenham,2006-07,44000000.0
Watford,2006-07,18000000.0
West Ham United,2006-07,44000000.0
Wigan Athletic,2006-07,28000000.0
Arsenal,2007-08,101000000.0
Aston Villa,2007-08,50000000.0
Birmingham City,2007-08,27000000.0
Blackburn Rovers,2007-08,40000000.0
Bolton Wanderers,2007-08,39000000.0
Chelsea,2007-08,172000000.0
Derby County,2007-08,26000000.0
Everton,2007-08,45000000.0
Fulham,2007-08,39000000.0
